input_len,output_len,loss,bottleneck_size,bottleneck_activation,LSTM_type,num,smape,name
18,12,mae,25,leaky,bi,0,14.772893279642464,18_12_25_leaky
18,12,mae,25,leaky,bi,1,13.608487749284057,18_12_25_leaky
18,12,mae,25,leaky,bi,2,13.443644401964567,18_12_25_leaky
18,12,mae,25,leaky,bi,3,13.61834637470553,18_12_25_leaky
18,12,mae,25,leaky,bi,4,13.695659843250773,18_12_25_leaky
18,12,mae,25,leaky,bi,5,13.322163424454493,18_12_25_leaky
18,12,mae,25,leaky,bi,6,13.292208838683976,18_12_25_leaky
18,12,mae,25,leaky,bi,7,13.107313289176375,18_12_25_leaky
18,12,mae,25,leaky,bi,8,13.453516414287677,18_12_25_leaky
18,12,mae,25,leaky,bi,9,13.49661428414149,18_12_25_leaky
18,12,mae,25,leaky,bi,10,13.525422315730975,18_12_25_leaky
18,12,mae,25,leaky,bi,11,13.285837822659685,18_12_25_leaky
18,12,mae,25,leaky,bi,12,13.248374690523482,18_12_25_leaky
18,12,mae,25,leaky,bi,13,13.217510280446954,18_12_25_leaky
18,12,mae,25,leaky,bi,14,13.317247557648917,18_12_25_leaky
18,12,mae,25,leaky,bi,15,13.361150135667486,18_12_25_leaky
18,12,mae,25,leaky,bi,16,13.39064224541702,18_12_25_leaky
18,12,mae,25,leaky,bi,17,13.243986864743464,18_12_25_leaky
18,12,mae,25,leaky,bi,18,13.292830108392895,18_12_25_leaky
18,12,mae,25,leaky,bi,19,13.136576079160543,18_12_25_leaky
18,12,mae,25,leaky,bi,20,13.282653222824269,18_12_25_leaky
18,12,mae,25,leaky,bi,21,13.263669482475526,18_12_25_leaky
18,12,mae,25,leaky,bi,22,13.366807757678943,18_12_25_leaky
18,12,mae,25,leaky,bi,23,13.806369261131543,18_12_25_leaky
18,12,mae,25,leaky,bi,24,13.300798016280169,18_12_25_leaky
18,12,mae,25,leaky,bi,25,13.27593059787964,18_12_25_leaky
18,12,mae,25,leaky,bi,26,13.313222854703,18_12_25_leaky
18,12,mae,25,leaky,bi,27,13.518262587742086,18_12_25_leaky
18,12,mae,25,leaky,bi,28,13.325498301659415,18_12_25_leaky
18,12,mae,25,leaky,bi,29,13.748478309981497,18_12_25_leaky
18,12,mae,25,leaky,bi,,13.228610764570023,18_12_25_leaky
18,20,mae,50,relu,bi,0,13.873750618191867,18_20_50_relu
18,20,mae,50,relu,bi,1,13.2338218081172,18_20_50_relu
18,20,mae,50,relu,bi,2,13.344199312700988,18_20_50_relu
18,20,mae,50,relu,bi,3,13.220080090558547,18_20_50_relu
18,20,mae,50,relu,bi,4,13.290937193544133,18_20_50_relu
18,20,mae,50,relu,bi,5,13.419727257251287,18_20_50_relu
18,20,mae,50,relu,bi,6,13.325718978383001,18_20_50_relu
18,20,mae,50,relu,bi,7,13.307493603529961,18_20_50_relu
18,20,mae,50,relu,bi,8,13.329605683613895,18_20_50_relu
18,20,mae,50,relu,bi,9,13.530989102745439,18_20_50_relu
18,20,mae,50,relu,bi,10,13.110429705378683,18_20_50_relu
18,20,mae,50,relu,bi,11,13.375520489686316,18_20_50_relu
18,20,mae,50,relu,bi,12,13.321457272940377,18_20_50_relu
18,20,mae,50,relu,bi,13,13.733651079798552,18_20_50_relu
18,20,mae,50,relu,bi,14,13.3987129992653,18_20_50_relu
18,20,mae,50,relu,bi,15,13.37413443472392,18_20_50_relu
18,20,mae,50,relu,bi,16,13.313383693032526,18_20_50_relu
18,20,mae,50,relu,bi,17,13.830385781133211,18_20_50_relu
18,20,mae,50,relu,bi,18,13.216643920202365,18_20_50_relu
18,20,mae,50,relu,bi,19,13.696558587376423,18_20_50_relu
18,20,mae,50,relu,bi,20,13.230073184051085,18_20_50_relu
18,20,mae,50,relu,bi,21,13.229763266442232,18_20_50_relu
18,20,mae,50,relu,bi,22,13.231511754316212,18_20_50_relu
18,20,mae,50,relu,bi,23,13.297092480476202,18_20_50_relu
18,20,mae,50,relu,bi,24,13.132183005315232,18_20_50_relu
18,20,mae,50,relu,bi,25,13.15719706535271,18_20_50_relu
18,20,mae,50,relu,bi,26,13.84707745959073,18_20_50_relu
18,20,mae,50,relu,bi,27,13.57462505809819,18_20_50_relu
18,20,mae,50,relu,bi,28,13.30007015490166,18_20_50_relu
18,20,mae,50,relu,bi,29,13.15557145660655,18_20_50_relu
18,20,mae,50,relu,bi,,13.159085194173548,18_20_50_relu
18,14,mae,250,relu,bi,0,13.106556926055756,18_14_250_relu
18,14,mae,250,relu,bi,1,13.168409760766083,18_14_250_relu
18,14,mae,250,relu,bi,2,13.531799716789989,18_14_250_relu
18,14,mae,250,relu,bi,3,13.104853328918113,18_14_250_relu
18,14,mae,250,relu,bi,4,13.38734804162103,18_14_250_relu
18,14,mae,250,relu,bi,5,13.124533262054587,18_14_250_relu
18,14,mae,250,relu,bi,6,13.191531315190216,18_14_250_relu
18,14,mae,250,relu,bi,7,13.26134519337846,18_14_250_relu
18,14,mae,250,relu,bi,8,13.300493352752094,18_14_250_relu
18,14,mae,250,relu,bi,9,13.29631315674029,18_14_250_relu
18,14,mae,250,relu,bi,10,13.130542428663874,18_14_250_relu
18,14,mae,250,relu,bi,11,13.307564529344981,18_14_250_relu
18,14,mae,250,relu,bi,12,13.055602240806218,18_14_250_relu
18,14,mae,250,relu,bi,13,13.188155883568902,18_14_250_relu
18,14,mae,250,relu,bi,14,13.143381293749915,18_14_250_relu
18,14,mae,250,relu,bi,15,13.301942236327218,18_14_250_relu
18,14,mae,250,relu,bi,16,13.117628176821844,18_14_250_relu
18,14,mae,250,relu,bi,17,13.108888164365426,18_14_250_relu
18,14,mae,250,relu,bi,18,13.570689958175503,18_14_250_relu
18,14,mae,250,relu,bi,19,13.130410898233956,18_14_250_relu
18,14,mae,250,relu,bi,20,13.124484794770934,18_14_250_relu
18,14,mae,250,relu,bi,21,13.550299269849715,18_14_250_relu
18,14,mae,250,relu,bi,22,13.325366868548091,18_14_250_relu
18,14,mae,250,relu,bi,23,13.3765570407419,18_14_250_relu
18,14,mae,250,relu,bi,24,13.088198616794639,18_14_250_relu
18,14,mae,250,relu,bi,25,13.074280250719697,18_14_250_relu
