input_len,output_len,aug,loss,bottleneck_size,bottleneck_activation,model_type,kernel_size,optimizer,learning_rate,num,line,smape,mase*
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,0.0,False,13.18718704170346,2.7062808015634907
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,1.0,False,13.104759917051082,2.686548618307201
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,2.0,False,13.074364172063348,2.676233464117161
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,3.0,False,13.063438465648325,2.6724078530850344
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,4.0,False,13.039358088571484,2.668893453995226
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,5.0,False,13.070293886946276,2.6749228462647
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,6.0,False,13.088289801552108,2.678511027969344
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,7.0,False,13.08713688384887,2.6802394884232204
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,8.0,False,13.069209540238425,2.672615725348781
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,9.0,False,13.06102628990456,2.6689592727840785
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,10.0,False,13.044881595215942,2.6627311103793425
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,11.0,False,13.06039952160016,2.6693733512210094
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,12.0,False,13.0264289708954,2.660563737736954
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,13.0,False,13.05966361584614,2.6681057533254258
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,14.0,False,13.050065572252102,2.6688212080109097
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,15.0,False,13.225028467771573,2.6981382116467234
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,16.0,False,13.118642331848221,2.6841021849187117
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,17.0,False,13.09573530634057,2.678342569186123
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,18.0,False,13.067011878703127,2.6754676207572574
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,19.0,False,13.057708625927775,2.6729270683073776
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,20.0,False,13.075931796519122,2.6813598444025115
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,21.0,False,13.04980700905358,2.673548369336787
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,22.0,False,13.049902875505426,2.6727360287632798
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,23.0,False,13.03543385231182,2.6675857453149745
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,24.0,False,13.01806157455394,2.66177834020222
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,25.0,False,13.038007432579207,2.669213013308368
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,26.0,False,13.039164522506356,2.663210446648029
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,27.0,False,13.05871863983114,2.6708674153970287
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,28.0,False,13.054472397515873,2.666929486902298
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,29.0,False,13.04501345987862,2.665545831136201
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,30.0,False,13.192318558429008,2.693979471686934
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,31.0,False,13.135241893608049,2.692789401870124
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,32.0,False,13.133564111949312,2.688952261453855
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,33.0,False,13.111486461917606,2.6852225191383097
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,34.0,False,13.123527971514475,2.689740784373333
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,35.0,False,13.094064669588787,2.685715069426023
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,36.0,False,13.083981604000352,2.682942673804517
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,37.0,False,13.092623062469174,2.6871059038026748
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,38.0,False,13.07233785482775,2.680936865202437
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,39.0,False,13.059771868735313,2.679931277824976
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,40.0,False,13.039651247487695,2.6753668559317307
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,41.0,False,13.06659835393776,2.6816307318049915
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,42.0,False,13.051177196718244,2.6782127874155486
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,43.0,False,13.055357033797724,2.6755777622966384
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,44.0,False,13.037547592720573,2.6697431523556805
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,45.0,False,13.165234122710338,2.695834924497373
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,46.0,False,13.151454232419796,2.689504731474909
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,47.0,False,13.104370298095596,2.6863720621718445
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,48.0,False,13.086460137690695,2.683596298550132
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,49.0,False,13.080427437632244,2.6814994523797058
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,50.0,False,13.043987187907353,2.6717908721296846
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,51.0,False,13.045024938594015,2.6701645552093662
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,52.0,False,13.053684995222454,2.672141151517811
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,53.0,False,13.07173934703135,2.6805524909664817
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,54.0,False,13.053165298926912,2.676046388201724
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,55.0,False,13.053427342913661,2.672598269457595
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,56.0,False,13.047491038672964,2.670675827962393
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,57.0,False,13.059756080606778,2.6732597087156287
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,58.0,False,13.056044754638453,2.66788155361335
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,59.0,False,13.0405011396734,2.668228224443437
18,14,0.95,mae,700,relu,conv3,2,adam,0.005,,False,13.018826980527356,2.669762993900286
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,0.0,False,13.318235394473708,2.7167625589898354
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,1.0,False,13.205214678950885,2.6994950263381896
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,2.0,False,13.178172075022207,2.696994009914353
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,3.0,False,13.155098064513021,2.6933842793699543
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,4.0,False,13.146524530894457,2.6914766678865765
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,5.0,False,13.11879379675679,2.6800911416388047
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,6.0,False,13.106212029639735,2.676442627543699
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,7.0,False,13.130327512767154,2.685749576391086
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,8.0,False,13.114369274747196,2.680952775662089
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,9.0,False,13.10774203996614,2.6793799688581084
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,10.0,False,13.103275435951078,2.6761641812324743
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,11.0,False,13.080263863476858,2.6741695960088943
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,12.0,False,13.106852416099903,2.68072503016433
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,13.0,False,13.093756816934855,2.6770000347379668
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,14.0,False,13.092604737353065,2.679648904725892
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,15.0,False,13.290995035147422,2.713353617865128
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,16.0,False,13.182672499447387,2.6919690326348853
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,17.0,False,13.178582181442426,2.692004905234873
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,18.0,False,13.153206255067921,2.6847845541364235
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,19.0,False,13.14546875328352,2.6856015261470008
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,20.0,False,13.134621979958224,2.682827193554889
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,21.0,False,13.116449099560759,2.6792810574372568
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,22.0,False,13.104669230214615,2.6794040634230916
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,23.0,False,13.100361936266113,2.6775977004896325
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,24.0,False,13.090115905850524,2.6731781983732112
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,25.0,False,13.085542220055027,2.6768436262876043
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,26.0,False,13.080565219621535,2.675277848056953
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,27.0,False,13.083400502799295,2.6765314921002137
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,28.0,False,13.06559631157982,2.6717157153131894
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,29.0,False,13.062462655217805,2.672118294628042
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,30.0,False,13.279144334442899,2.7147832391007016
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,31.0,False,13.187807482043553,2.6951526217716766
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,32.0,False,13.180421416452795,2.6951367723164283
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,33.0,False,13.147588919638824,2.6857126372534776
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,34.0,False,13.135220018406015,2.6854968121204843
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,35.0,False,13.145508726523664,2.691976468277945
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,36.0,False,13.110975716344528,2.6803511295813927
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,37.0,False,13.094335112535605,2.676754893553215
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,38.0,False,13.09858920684512,2.6814093423825214
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,39.0,False,13.09177658330272,2.6790425541980434
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,40.0,False,13.081366624616484,2.6797610045055027
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,41.0,False,13.079981128561954,2.679525157109186
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,42.0,False,13.065700439236624,2.676221690432695
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,43.0,False,13.060616757162595,2.6742131613012305
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,44.0,False,13.052758288174395,2.6722894991458643
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,45.0,False,13.248818118475953,2.7046562827978
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,46.0,False,13.16916259205138,2.6932206165883312
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,47.0,False,13.174270398881164,2.6938140756547457
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,48.0,False,13.165517158651946,2.692715773160101
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,49.0,False,13.144567767480464,2.6849808764342886
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,50.0,False,13.156929499020958,2.690313249582137
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,51.0,False,13.139263222363756,2.683219141282517
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,52.0,False,13.128327898962278,2.682394974067806
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,53.0,False,13.125479026034625,2.6812305785419093
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,54.0,False,13.124848270602625,2.685204575091433
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,55.0,False,13.108234591323829,2.6805800457191693
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,56.0,False,13.11057850180331,2.683070139434784
