,input_len,output_len,loss,bottleneck_size,bottleneck_activation,LSTM_type,smape,mase*
0,12,12,mae,25,leaky,bi,13.381773985395162,2.5361912830989994
1,12,12,mae,50,tanh,uni,13.338229452108685,2.5168928972792095
2,12,12,mae,50,relu,uni,13.3229421962806,2.508690493134155
3,12,12,mae,50,tanh,bi,13.30153072651444,2.5081983499316176
4,12,12,mae,50,relu,bi,13.321721991954202,2.5161577142566003
5,12,12,mae,25,tanh,bi,13.302513375354934,2.5127257950394353
6,12,12,mae,100,leaky,bi,13.30607632889453,2.515591970419158
7,12,12,mae,25,leaky,uni,13.395477201373817,2.5178331116543418
8,12,12,mae,50,leaky,bi,13.322820331946184,2.5074329697543174
9,12,12,mae,25,relu,uni,13.400038779621257,2.526933319751676
10,12,12,mae,25,tanh,uni,13.321633984294964,2.5125444698595927
11,12,12,mae,50,leaky,uni,13.390957154114503,2.534257796379258
12,12,12,mae,100,leaky,uni,,
13,12,12,mae,25,relu,bi,,
